label,sample_size,distinct_matrices_in_sample,contains_1295,contains_1220,in_sample_total_cost,in_sample_worst_recourse,complete_library_total_cost,complete_library_worst_recourse,gap_vs_in_sample,gap_vs_exact_optimum,in_sample_rel_dev_from_exact_pct,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,investment_cost,worst_scenario_id,worst_events_json,worst_unmet_tons,master_assembly_plus_lp_time_s,maximal_set_eval_time_s,wall_time_s
random_seed_47,1000,999,False,False,3579827947.2045507,3511145168.2486787,6579221512.992695,6510538734.036823,2999393565.788144,2998128039.957256,-0.035339089594206397,600.0,600.0,366.087717526685,184.4912316132966,158.33333333333334,68682778.95587191,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.328830003738403,3.280517816543579,13.813791990280151
random_seed_48,1000,1000,False,False,3578854711.1111145,3510132044.444448,8278578844.444445,8209856177.777778,4699724133.33333,4697485371.409006,-0.06251615438641071,600.0,600.0,294.44444444444446,300.0,130.0,68722666.66666667,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.742642164230347,2.978890895843506,16.921483993530273
random_seed_49,1000,1000,False,False,3580218500.0,3510930500.0,4680808500.0,4611520500.0,1100590000.0,1099715026.964561,-0.0244331247432467,600.0,600.0,350.0,300.0,190.0,69288000.0,1295,"[[0, 0, 6], [1, 0, 6]]",410.0,10.028754949569702,3.1190600395202637,13.348858833312988
random_seed_50,1000,998,False,False,3578747232.0175443,3509904863.5964913,8278535601.754387,8209693233.333334,4699788369.736843,4697442128.718948,-0.06551744699101648,600.0,600.0,358.3333333333333,290.65789473688415,129.99999999999997,68842368.42105278,1295,"[[0, 0, 6], [1, 0, 6]]",770.0000000000001,11.100264072418213,3.259526014328003,14.560086011886597
random_seed_51,1000,999,False,False,3579825800.33146,3511262730.7248883,6579218733.607147,6510655664.000576,2999392933.275687,2998125260.571708,-0.03539903980513804,600.0,600.0,314.10866119036984,185.89133880963018,158.33333333333334,68563069.60657156,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,13.358844757080078,3.2451508045196533,16.80704379081726
random_seed_52,1000,998,False,False,3579710475.7702646,3511076978.4719496,6579182572.510177,6510549075.211862,2999472096.739912,2998089099.4747376,-0.03861941263437953,600.0,600.0,357.07559088893277,176.80996671717787,158.33333333333334,68633497.29831529,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,13.050470113754272,3.3350331783294678,16.583693027496338
random_seed_53,1000,1000,False,False,3579223098.0926433,3509845245.231608,8279036252.861035,8209658400.0,4699813154.768393,4697942779.825596,-0.05222915729173551,600.0,600.0,567.4386920980926,300.0,130.0,69377852.86103542,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.705247163772583,3.0034422874450684,14.909577131271362
random_seed_54,1000,998,False,False,3578817758.2677164,3510056340.944882,8278599817.322835,8209838400.0,4699782059.055119,4697506344.2873955,-0.06354804153697906,600.0,600.0,300.0,307.0603674540682,130.0,68761417.32283464,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.286162853240967,3.0877888202667236,14.57752275466919
random_seed_55,1000,998,False,False,3580066676.983125,3511183157.2158914,4680791544.343235,4611908024.576001,1100724867.3601098,1099698071.307796,-0.02867269620425357,600.0,600.0,354.3561339471244,184.75353118506442,189.99337965195804,68883519.76723343,1295,"[[0, 0, 6], [1, 0, 6]]",410.03972208825166,11.883316278457642,3.128380060195923,15.214477062225342
random_seed_56,1000,999,False,False,3577811648.9257812,3509487469.2382812,10077224348.632812,10008900168.945312,6499412699.707031,6496130875.597374,-0.09164307311073885,600.0,600.0,314.697265625,235.80729166666666,100.0,68324179.6875,1295,"[[0, 0, 6], [1, 0, 6]]",950.0,11.745643615722656,3.106006145477295,15.052236080169678
random_seed_57,1000,999,False,False,3578861167.9245286,3510070149.056604,8278629418.867925,8209838400.0,4699768250.943396,4697535945.832485,-0.0623358515414078,600.0,600.0,300.0,315.2830188679245,130.0,68791018.86792453,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.896018981933594,3.1810781955718994,14.277729034423828
random_seed_58,1000,1000,False,False,3578809668.987342,3510061896.835443,8278562517.540687,8209814745.388788,4699752848.553345,4697469044.505247,-0.06377393009407584,600.0,600.0,309.31283905967456,297.06148282097683,130.0,68747772.15189874,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.351423025131226,3.179300308227539,15.731864929199219
random_seed_59,1000,998,False,False,3578831767.759563,3510111505.4644804,8278558662.295082,8209838400.0,4699726894.535519,4697465189.259644,-0.0631568344391457,600.0,600.0,300.0,295.62841530066834,130.0,68720262.2950824,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.283707857131958,3.245310068130493,14.731762170791626
random_seed_60,1000,997,True,False,3581012534.3915343,3512076000.0,3582034345.458554,3513097811.0670195,1021811.0670194626,940872.4231147766,-0.0022601656313673384,600.0,600.0,350.0,165.70399764844208,208.33333333333334,68936534.39153439,1220,"[[0, 0, 6], [0, 6, 6]]",300.0,12.336695194244385,3.1871931552886963,15.725883960723877
random_seed_61,1000,999,False,False,3580044109.437306,3511035735.489588,6364572522.374832,6295564148.427114,2784528412.937526,2783479049.339393,-0.02930288209549627,600.0,600.0,350.0,278.4891448825873,161.9184758529021,69008373.9477182,1295,"[[0, 0, 6], [1, 0, 6]]",578.4891448825873,11.28977370262146,3.2351248264312744,14.725860834121704
random_seed_62,1000,998,False,False,3579049447.928994,3509916311.8343196,8278793607.692307,8209660471.597633,4699744159.763313,4697700134.656868,-0.05707823942144299,600.0,600.0,465.4733727810651,300.0,130.0,69133136.09467456,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.37057089805603,3.1130142211914062,15.684509992599487
random_seed_63,1000,997,False,False,3580002987.7871017,3511120197.3092175,4680719151.051739,4611836360.5738535,1100716163.264637,1099625678.0162997,-0.030451180806876338,600.0,600.0,373.75549377009287,171.61636234965022,189.9942206080395,68882790.47788484,1295,"[[0, 0, 6], [1, 0, 6]]",410.03467635176287,11.294872045516968,3.185251235961914,14.680952072143555
random_seed_64,1000,997,False,False,3579632255.2686253,3510996787.7708516,6579173634.16444,6510538166.666666,2999541378.895815,2998080161.129001,-0.04080367568778327,600.0,600.0,366.6666666666667,170.96319382605267,158.33333333333334,68635467.4977738,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,13.843938827514648,3.314255952835083,17.3592472076416
random_seed_65,1000,999,False,False,3578808983.3333335,3510052983.3333335,8278573233.333333,8209817233.333333,4699764250.0,4697479760.297894,-0.06379307659258394,600.0,600.0,308.3333333333333,300.0,130.0,68756000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,14.329928874969482,2.8734028339385986,17.40434718132019
random_seed_66,1000,997,False,False,3578860044.2934785,3510055076.902174,8278643367.391304,8209838400.0,4699783323.097826,4697549894.3558655,-0.0623672282998915,600.0,600.0,300.0,319.1576086956522,130.0,68804967.39130434,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.450507164001465,3.1130969524383545,13.76607894897461
random_seed_67,1000,999,False,False,3579860589.579586,3511254884.233036,6579209642.227027,6510603936.880477,2999349052.647441,2998116169.191588,-0.03442756982291103,600.0,600.0,334.4736691033043,184.15792797273053,158.33333333333334,68605705.34654976,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.860903978347778,3.231736660003662,15.294071912765503
random_seed_68,1000,999,False,False,3579815126.941946,3511215588.9206867,6579214838.021258,6510615299.999999,2999399711.0793123,2998121364.9858193,-0.03569708814133303,600.0,600.0,330.0,185.4272281275552,158.33333333333334,68599538.0212592,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.903722047805786,2.9220380783081055,14.028146266937256
random_seed_69,1000,997,False,False,3579683694.517913,3510862500.0,4680341694.517913,4611520500.0,1100658000.0,1099248221.4824739,-0.03936726388577566,600.0,600.0,350.0,170.33181053137773,190.0,68821194.51791295,1295,"[[0, 0, 6], [1, 0, 6]]",410.0,10.968125820159912,3.04988431930542,14.218061923980713
random_seed_70,1000,1000,False,False,3579805437.293992,3511131783.2784963,6579207349.9855,6510533695.970004,2999401912.6915083,2998113876.9500613,-0.03596766605355306,600.0,600.0,373.8774677343017,176.76335914830216,158.33333333333334,68673654.01549621,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.669328927993774,3.2905020713806152,15.159846067428589
random_seed_71,1000,1000,False,False,3579016340.7772565,3509839765.4861636,8278836451.397247,8209659876.106154,4699820110.619991,4697742978.361809,-0.05800273781800752,600.0,600.0,475.39823075759864,305.4498714652959,130.0,69176575.2910933,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.907580137252808,2.9963181018829346,14.106751918792725
random_seed_72,1000,999,False,False,3578950123.9436617,3509903222.535211,8278710347.183099,8209663445.774648,4699760223.239437,4697616874.147659,-0.059851805263283445,600.0,600.0,429.5422535211268,300.0,130.0,69046901.40845071,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.6661958694458,3.160137891769409,14.027741193771362
random_seed_73,1000,999,True,False,3580966757.02956,3512076000.0,3582567590.9637103,3513676833.93415,1600833.934150219,1474117.9282712936,-0.003538472447956438,600.0,600.0,350.0,152.98806376672655,208.33333333333334,68890757.02956021,1220,"[[0, 0, 6], [0, 6, 6]]",300.0,13.064950942993164,3.2599709033966064,16.52589988708496
random_seed_74,1000,998,False,False,3580218500.0,3510930500.0,4680808500.0,4611520500.0,1100590000.0,1099715026.964561,-0.0244331247432467,600.0,600.0,350.0,300.0,190.0,69288000.0,1295,"[[0, 0, 6], [1, 0, 6]]",410.0,11.14133596420288,3.0712409019470215,14.412271976470947
random_seed_75,1000,999,False,False,3578855500.0,3510119500.0,8278574400.0,8209838400.0,4699718900.0,4697480926.964561,-0.06249412511263057,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,9.472770690917969,3.3586366176605225,13.033375978469849
random_seed_76,1000,999,False,False,3579723577.502304,3511128725.5259447,6579142741.636393,6510547889.660033,2999419164.1340885,2998049268.6009536,-0.0382535542132547,600.0,600.0,357.61942200292793,165.71260098682427,158.33333333333334,68594851.97635959,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,12.79662013053894,3.311859130859375,16.31039309501648
